Data,Hora,umidAmb,tempAmb,tempSubst,tempSolo,umidGas,tempGas,decDeBiogas,volumeTotal
2021-05-01,00:03:15,88.5,13.5,19.25,19.5,79.25,11.109999999999999,0,0
2021-05-01,00:46:06,90.200000000000003,13.199999999999999,19.25,19.559999999999999,80.090000000000003,10.68,0,0
2021-05-01,01:00:28,88.700000000000003,14.199999999999999,19.25,19.5,81.010000000000005,11.58,0,0
2021-05-01,01:14:57,89,14.300000000000001,19.25,19.5,81.030000000000001,12.18,0,0
2021-05-01,01:43:41,90.200000000000003,13.699999999999999,19.190000000000001,19.559999999999999,80.739999999999995,11.720000000000001,0,0
2021-05-01,01:58:02,90.299999999999997,13.6,19.190000000000001,19.559999999999999,80.969999999999999,11.470000000000001,0,0
2021-05-01,02:41:08,89.5,13.300000000000001,19.25,19.559999999999999,93.909999999999997,11.02,0,0
2021-05-01,02:55:38,89.900000000000006,12.9,19.190000000000001,19.559999999999999,81.519999999999996,7.6500000000000004,0,0
2021-05-01,03:09:58,91.200000000000003,12.6,19.190000000000001,19.559999999999999,81.75,10.35,0,0
2021-05-01,03:24:13,90.5,12.6,19.190000000000001,19.559999999999999,82.060000000000002,10.210000000000001,0,0
2021-05-01,03:53:12,91.700000000000003,12.199999999999999,19.190000000000001,19.559999999999999,82.459999999999994,9.9800000000000004,0,0
2021-05-01,04:07:42,92,12.199999999999999,19.190000000000001,19.559999999999999,82.640000000000001,9.8800000000000008,0,0
2021-05-01,04:22:12,91.5,11.800000000000001,19.120000000000001,19.559999999999999,65.900000000000006,9.6400000000000006,0,0
2021-05-01,04:36:25,92.599999999999994,11.800000000000001,19.120000000000001,19.559999999999999,82.870000000000005,9.4700000000000006,0,0
2021-05-01,04:50:55,93.299999999999997,11.800000000000001,19.120000000000001,19.559999999999999,83.129999999999995,9.3900000000000006,0,0
2021-05-01,05:05:16,90.799999999999997,11.6,19.120000000000001,19.5,83.299999999999997,9.4000000000000004,0,0
2021-05-01,05:19:31,92.299999999999997,11,19.120000000000001,19.559999999999999,83.390000000000001,9.1199999999999992,0,0
2021-05-01,05:34:01,93,11.1,19.120000000000001,19.5,83.590000000000003,8.9700000000000006,0,0
2021-05-01,06:04:17,92.599999999999994,10.800000000000001,19.120000000000001,19.5,83.980000000000004,8.7599999999999998,0,0
2021-05-01,06:15:38,92.599999999999994,10.800000000000001,19.059999999999999,19.5,84.019999999999996,8.6699999999999999,0.01,0.02
2021-05-01,06:44:23,93.400000000000006,10.5,19.059999999999999,19.5,84.319999999999993,8.3599999999999994,0,0.02
2021-05-01,06:58:44,92.799999999999997,10.800000000000001,19,19.5,84.540000000000006,8.3900000000000006,0,0.02
2021-05-01,07:27:29,91.599999999999994,11.300000000000001,19,19.5,85.060000000000002,8.1899999999999995,0,0.02
2021-05-01,07:42:05,92,11.9,19,19.440000000000001,85.290000000000006,9.4100000000000001,0,0.02
2021-05-01,07:56:35,92.099999999999994,12.699999999999999,19,19.440000000000001,85.659999999999997,10.01,0,0.02
2021-05-01,08:25:58,88.5,14.699999999999999,18.940000000000001,19.440000000000001,85.930000000000007,11.52,0,0.02
2021-05-01,08:40:20,86.900000000000006,15.4,18.940000000000001,19.440000000000001,86.099999999999994,12.23,0,0.02
2021-05-01,08:54:42,83.700000000000003,16.399999999999999,18.940000000000001,19.440000000000001,86.150000000000006,12.800000000000001,0,0.02
2021-05-01,09:08:55,79.599999999999994,17.600000000000001,18.879999999999999,19.440000000000001,86.170000000000002,13.6,0,0.02
2021-05-01,09:23:25,76.599999999999994,18.600000000000001,18.879999999999999,19.440000000000001,86.219999999999999,14.529999999999999,0,0.02
2021-05-01,09:37:46,72.599999999999994,19.100000000000001,18.879999999999999,19.440000000000001,85.939999999999998,15.449999999999999,0,0.02
2021-05-01,09:52:16,73,19.699999999999999,18.809999999999999,19.440000000000001,85.569999999999993,16.170000000000002,0,0.02
2021-05-01,10:21:31,69.700000000000003,20.899999999999999,18.809999999999999,19.379999999999999,54.259999999999998,18.25,0,0.02
2021-05-01,10:35:53,71.5,20.800000000000001,18.809999999999999,19.379999999999999,85.129999999999995,19.690000000000001,0,0.02
2021-05-01,10:50:23,71,21.399999999999999,18.809999999999999,19.379999999999999,84,21.289999999999999,0,0.02
2021-05-01,11:04:52,67.799999999999997,22.199999999999999,18.809999999999999,19.379999999999999,83.280000000000001,24.899999999999999,0,0.02
2021-05-01,11:19:06,65.900000000000006,23,18.75,19.379999999999999,80.390000000000001,29.059999999999999,0,0.02
2021-05-01,11:33:36,64,23.399999999999999,18.75,19.379999999999999,72.989999999999995,34.420000000000002,0,0.02
2021-05-01,12:16:41,66.299999999999997,22.699999999999999,18.690000000000001,19.309999999999999,65.75,35.159999999999997,0,0.02
2021-05-01,12:31:03,67.900000000000006,22.399999999999999,18.690000000000001,19.309999999999999,65.379999999999995,33.090000000000003,0,0.02
2021-05-01,12:45:25,64.200000000000003,23.800000000000001,18.690000000000001,19.309999999999999,83.040000000000006,28.379999999999999,0,0.02
2021-05-01,13:14:16,63.299999999999997,24.300000000000001,18.690000000000001,19.25,62.329999999999998,30.960000000000001,0,0.02
2021-05-01,13:28:29,63.399999999999999,23.699999999999999,18.690000000000001,19.25,58.939999999999998,28.190000000000001,0,0.02
2021-05-01,13:42:45,63.799999999999997,23.699999999999999,18.620000000000001,19.25,58.789999999999999,28.699999999999999,0,0.02
2021-05-01,13:57:05,64.299999999999997,23.699999999999999,18.620000000000001,19.25,59.719999999999999,28.100000000000001,0,0.02
