Data,Hora,tempSubst,tempSolo,umidAmb,tempAmb,umidGas,tempGas,decDeBiogas,volumeTotal
2021-06-12,11:03:37,17.379999999999999,17.440000000000001,57.899999999999999,15.4,91.780000000000001,24.02,0,0
2021-06-12,11:18:26,17.379999999999999,17.440000000000001,58.299999999999997,16.300000000000001,72.959999999999994,36.890000000000001,0,0
2021-06-12,11:33:25,17.379999999999999,17.440000000000001,55.200000000000003,16.600000000000001,69.870000000000005,31.07,0,0
2021-06-12,11:48:32,17.379999999999999,17.440000000000001,50,16.699999999999999,67.939999999999998,32.149999999999999,0,0
2021-06-12,12:03:30,17.379999999999999,17.440000000000001,50.100000000000001,17,66.689999999999998,33.18,0,0
2021-06-12,12:18:28,17.379999999999999,17.440000000000001,48.899999999999999,17.699999999999999,65.209999999999994,33.549999999999997,0,0
2021-06-12,12:33:27,17.379999999999999,17.440000000000001,47.5,17.5,61.5,33.829999999999998,0,0
2021-06-12,13:18:33,17.379999999999999,17.440000000000001,45,18.300000000000001,59.539999999999999,31.829999999999998,0,0
2021-06-12,13:48:30,17.379999999999999,17.440000000000001,42.899999999999999,18.699999999999999,54.770000000000003,33.259999999999998,0,0
2021-06-12,14:18:37,17.379999999999999,17.440000000000001,51.5,18.899999999999999,69.349999999999994,32.07,0,0
2021-06-12,14:33:34,17.379999999999999,17.440000000000001,49.100000000000001,18.699999999999999,52.340000000000003,31.02,0,0
2021-06-12,14:48:34,17.379999999999999,17.440000000000001,49.299999999999997,18.600000000000001,70.480000000000004,30.98,0,0
2021-06-12,15:18:32,17.379999999999999,17.440000000000001,52.399999999999999,17.899999999999999,99.159999999999997,25.739999999999998,0,0
2021-06-12,15:48:30,17.379999999999999,17.440000000000001,57.100000000000001,16.5,31.719999999999999,17.100000000000001,0,0
2021-06-12,16:03:28,17.379999999999999,17.440000000000001,56.5,16.300000000000001,59.509999999999998,16.77,0,0
2021-06-12,16:18:27,17.379999999999999,17.440000000000001,59.299999999999997,15.9,59.810000000000002,26.23,0,0
2021-06-12,16:33:45,17.379999999999999,17.440000000000001,63.5,15.4,69.840000000000003,22.710000000000001,0,0
2021-06-12,17:07:17,17.379999999999999,17.440000000000001,67.799999999999997,14.6,64.030000000000001,12.76,0,0
2021-06-12,17:22:16,17.379999999999999,17.440000000000001,67.099999999999994,14.300000000000001,65.049999999999997,12.07,0,0
2021-06-12,17:37:15,17.379999999999999,17.440000000000001,71,13.699999999999999,66.019999999999996,11.460000000000001,0,0
2021-06-12,17:52:05,17.379999999999999,17.440000000000001,76.200000000000003,13.300000000000001,67.040000000000006,10.9,0,0
2021-06-12,18:07:13,17.379999999999999,17.440000000000001,81.700000000000003,12.699999999999999,68.260000000000005,10.35,0,0
2021-06-12,18:22:12,17.379999999999999,17.440000000000001,82.799999999999997,12.6,82.260000000000005,10,0,0
2021-06-12,18:37:10,17.379999999999999,17.440000000000001,84.200000000000003,12.4,70.510000000000005,9.6999999999999993,0,0
2021-06-12,18:52:10,17.379999999999999,17.440000000000001,86.599999999999994,12,71.5,9.4100000000000001,0,0
2021-06-12,19:22:08,17.379999999999999,17.440000000000001,88.599999999999994,11.6,73.269999999999996,9.1799999999999997,0,0
2021-06-12,19:52:08,17.379999999999999,17.440000000000001,90.700000000000003,11.199999999999999,74.730000000000004,8.9399999999999995,0,0
2021-06-12,20:22:15,17.379999999999999,17.440000000000001,91.900000000000006,10.4,75.599999999999994,8.1400000000000006,0,0
2021-06-12,20:52:04,17.379999999999999,17.440000000000001,91.299999999999997,10.199999999999999,76.730000000000004,7.8200000000000003,0,0
2021-06-12,21:07:04,17.379999999999999,17.440000000000001,91.5,9.8000000000000007,77.180000000000007,7.5700000000000003,0,0
2021-06-12,21:22:11,17.379999999999999,17.379999999999999,92.200000000000003,9.6999999999999993,78.319999999999993,7.2300000000000004,0,0
2021-06-12,21:37:11,17.379999999999999,17.379999999999999,91.900000000000006,9.5,78.010000000000005,7.1299999999999999,0,0
2021-06-12,21:52:08,17.379999999999999,17.379999999999999,91.799999999999997,9.3000000000000007,78.400000000000006,6.8399999999999999,0,0
2021-06-12,22:07:08,17.379999999999999,17.379999999999999,93.099999999999994,9.0999999999999996,83.390000000000001,6.7000000000000002,0,0
2021-06-12,22:37:04,17.379999999999999,17.379999999999999,92.900000000000006,8.6999999999999993,79.469999999999999,6.3300000000000001,0,0
2021-06-12,22:52:03,17.379999999999999,17.379999999999999,93.700000000000003,8.8000000000000007,79.909999999999997,6.29,0,0
2021-06-12,23:37:08,17.379999999999999,17.379999999999999,92.900000000000006,8.3000000000000007,80.719999999999999,5.7199999999999998,0,0
2021-06-12,23:52:07,17.379999999999999,17.379999999999999,91.900000000000006,8.5999999999999996,81.390000000000001,6.0499999999999998,0,0
2021-06-13,00:07:05,17.379999999999999,17.379999999999999,94.200000000000003,8.8000000000000007,81.900000000000006,6.5700000000000003,0,0
2021-06-13,00:22:13,17.379999999999999,17.379999999999999,94.299999999999997,9,81.980000000000004,6.9400000000000004,0,0
2021-06-13,00:52:19,17.379999999999999,17.379999999999999,93,7.9000000000000004,81.909999999999997,6.4400000000000004,0,0
2021-06-13,01:07:07,17.379999999999999,17.379999999999999,93.099999999999994,7.7999999999999998,82.079999999999998,5.9000000000000004,0,0
2021-06-13,01:22:07,17.379999999999999,17.379999999999999,93.900000000000006,7.7999999999999998,80.109999999999999,5.9199999999999999,0,0
2021-06-13,01:37:05,17.379999999999999,17.379999999999999,93.599999999999994,7.9000000000000004,80.280000000000001,5.8700000000000001,0,0
