Data,Hora,umidAmb,tempAmb,tempSubst,tempSolo,umidGas,tempGas,decDeBiogas,volumeTotal
2021-09-29,00:10:28,97.700000000000003,17.600000000000001,18.879999999999999,18.559999999999999,82.010000000000005,17.390000000000001,0,0
2021-09-29,00:25:27,97.799999999999997,17.699999999999999,18.809999999999999,18.559999999999999,82.150000000000006,17.190000000000001,0,0
2021-09-29,00:40:28,97.099999999999994,17.800000000000001,18.75,18.559999999999999,82.099999999999994,17.039999999999999,0,0
2021-09-29,00:55:30,96.5,17.800000000000001,18.809999999999999,18.559999999999999,82.230000000000004,16.920000000000002,0,0
2021-09-29,01:10:28,94.400000000000006,17.699999999999999,18.809999999999999,18.559999999999999,82.109999999999999,16.510000000000002,0,0
2021-09-29,01:25:27,93.799999999999997,17.699999999999999,18.809999999999999,18.559999999999999,82.219999999999999,16.41,0,0
2021-09-29,01:40:27,95.400000000000006,17.300000000000001,18.75,18.559999999999999,82.459999999999994,16.440000000000001,0,0
2021-09-29,01:55:29,95.400000000000006,17.699999999999999,18.75,18.559999999999999,82.659999999999997,16.510000000000002,0,0
2021-09-29,02:10:27,95.299999999999997,17.699999999999999,18.75,18.559999999999999,82.680000000000007,16.539999999999999,0,0
2021-09-29,02:25:29,95.299999999999997,17.800000000000001,18.75,18.559999999999999,82.760000000000005,16.59,0,0
2021-09-29,02:40:28,95,17.699999999999999,18.75,18.559999999999999,82.739999999999995,16.48,0,0
2021-09-29,02:55:29,95,17.699999999999999,18.75,18.559999999999999,82.780000000000001,16.41,0,0
2021-09-29,03:10:28,95,17.5,18.75,18.559999999999999,82.849999999999994,16.32,0,0
2021-09-29,03:25:27,95.700000000000003,17.399999999999999,18.75,18.559999999999999,82.959999999999994,16.32,0,0
2021-09-29,03:40:28,95.700000000000003,17.399999999999999,18.75,18.559999999999999,82.959999999999994,16.309999999999999,0,0
2021-09-29,03:55:28,96.099999999999994,17.199999999999999,18.75,18.559999999999999,82.969999999999999,16.25,0,0
2021-09-29,04:10:27,96,17.300000000000001,18.75,18.559999999999999,83.200000000000003,16.420000000000002,0,0
2021-09-29,04:25:29,96.200000000000003,17.300000000000001,18.75,18.559999999999999,83.230000000000004,16.440000000000001,0,0
2021-09-29,04:40:33,96.099999999999994,17.300000000000001,18.75,18.559999999999999,83.230000000000004,16.5,0,0
2021-09-29,04:55:28,96.099999999999994,17.399999999999999,18.75,18.559999999999999,83.260000000000005,16.449999999999999,0,0
2021-09-29,05:10:26,96,17.300000000000001,18.75,18.559999999999999,83.329999999999998,16.469999999999999,0,0
2021-09-29,05:25:28,96.200000000000003,17.199999999999999,18.75,18.559999999999999,83.390000000000001,16.510000000000002,0,0
2021-09-29,05:40:29,96.200000000000003,17.300000000000001,18.75,18.559999999999999,83.489999999999995,16.559999999999999,0,0
2021-09-29,05:55:29,96.099999999999994,17.399999999999999,18.75,18.559999999999999,83.489999999999995,16.57,0,0
2021-09-29,06:10:29,96.200000000000003,17.300000000000001,18.75,18.559999999999999,83.489999999999995,16.52,0,0
2021-09-29,06:25:36,95.700000000000003,17.399999999999999,18.75,18.559999999999999,83.590000000000003,16.559999999999999,0,0
2021-09-29,06:40:27,95.599999999999994,17.5,18.75,18.559999999999999,83.790000000000006,16.649999999999999,0,0
2021-09-29,06:55:29,94.700000000000003,17.899999999999999,18.75,18.559999999999999,84.680000000000007,17.41,0,0
2021-09-29,07:10:28,95.200000000000003,17.699999999999999,18.75,18.559999999999999,83.609999999999999,17.170000000000002,0,0
2021-09-29,07:25:29,95.5,17.699999999999999,18.75,18.559999999999999,83.590000000000003,17.02,0,0
2021-09-29,07:40:29,94.799999999999997,18.100000000000001,18.75,18.559999999999999,84.540000000000006,17.379999999999999,0,0
2021-09-29,07:55:30,93.599999999999994,18.300000000000001,18.75,18.559999999999999,84.730000000000004,18.129999999999999,0,0
2021-09-29,08:10:28,92.299999999999997,18.800000000000001,18.75,18.559999999999999,85.379999999999995,18.620000000000001,0,0
2021-09-29,08:25:30,91,19.600000000000001,18.75,18.559999999999999,86.349999999999994,20.719999999999999,0,0
2021-09-29,08:40:28,88.400000000000006,20.5,18.75,18.559999999999999,86.450000000000003,22.91,0,0
2021-09-29,08:55:28,90.5,19.800000000000001,18.75,18.559999999999999,84.439999999999998,22.77,0,0
2021-09-29,09:10:28,92.5,19.100000000000001,18.75,18.559999999999999,82.909999999999997,20.91,0,0
2021-09-29,09:25:27,93,19.100000000000001,18.75,18.559999999999999,83.349999999999994,20.390000000000001,0,0
2021-09-29,09:40:30,92.599999999999994,19.100000000000001,18.75,18.559999999999999,82.810000000000002,19.850000000000001,0,0
2021-09-29,09:55:30,92.5,19.699999999999999,18.75,18.559999999999999,84.099999999999994,19.359999999999999,0,0
2021-09-29,10:10:29,90.900000000000006,20.199999999999999,18.75,18.559999999999999,84.909999999999997,20.649999999999999,0,0
2021-09-29,10:25:31,90.200000000000003,20.699999999999999,18.75,18.620000000000001,85.730000000000004,21.719999999999999,0,0
2021-09-29,10:40:29,86.900000000000006,21.800000000000001,18.75,18.620000000000001,86.829999999999998,23.809999999999999,0,0
2021-09-29,10:55:28,84.099999999999994,22.699999999999999,18.75,18.620000000000001,86.120000000000005,27.690000000000001,0,0
2021-09-29,11:10:31,84.200000000000003,22.600000000000001,18.75,18.620000000000001,85.459999999999994,30.780000000000001,0,0
2021-09-29,11:25:28,78.099999999999994,24.800000000000001,18.75,18.620000000000001,80.689999999999998,35.619999999999997,0,0
